Crop_Type,SOC,N_Content,P_Content,K_Content,pH,Fertilizer_Type,Fertilizer_Amount,Temperature,Rainfall,Humidity,Carbon_Footprint
Rice,1.72,10.0,29.2,69.5,6.3,NPK_15-15-15,328.3,23.1,714.9,38.9,1456.5
Vegetables,0.5,61.9,21.8,56.0,6.64,Organic,249.4,13.0,245.0,60.6,377.0
Soybeans,1.87,53.3,35.1,110.4,5.71,Ammonium Nitrate,34.6,20.8,1314.5,73.8,282.6
Wheat,2.93,83.7,45.5,32.0,6.3,Urea,242.8,23.8,654.9,82.9,647.7
Corn,2.63,157.1,24.1,84.5,6.26,Ammonium Nitrate,344.8,27.5,1194.9,67.3,1257.2
Corn,2.54,92.4,34.4,62.8,6.53,NPK_15-15-15,321.8,18.3,677.8,81.5,598.2
Corn,1.98,143.4,24.8,80.7,6.63,Urea,183.4,25.4,431.8,69.6,680.0
Vegetables,1.18,89.2,38.1,67.2,6.79,Ammonium Nitrate,107.6,31.1,1261.4,66.3,750.2
Wheat,2.61,59.3,26.8,27.6,6.57,Urea,227.0,20.2,881.0,57.7,594.2
Soybeans,1.53,83.7,23.9,66.9,5.55,NPK_15-15-15,8.2,15.5,1510.4,36.4,166.8
Corn,3.95,119.5,24.8,71.7,5.74,None,0.0,25.0,686.7,79.7,144.5
Vegetables,2.66,120.7,42.5,21.2,6.02,None,0.0,17.3,694.3,64.4,202.3
Soybeans,1.74,60.6,33.5,103.9,6.2,Organic,10.9,19.2,1201.7,81.7,206.9
Corn,1.71,81.3,28.6,71.2,7.14,NPK_15-15-15,325.6,28.3,1204.1,53.6,747.7
Corn,2.13,39.3,38.9,78.4,5.59,Urea,335.4,33.3,903.7,90.0,1226.1
Corn,2.01,95.6,28.8,41.7,6.15,Urea,442.6,18.3,2000.0,62.0,1344.0
Rice,3.09,113.8,51.9,78.8,7.07,NPK_15-15-15,228.2,19.7,751.8,56.7,1236.0
Wheat,2.35,76.0,20.4,86.8,6.19,Ammonium Nitrate,179.1,21.2,405.7,62.4,676.8
Rice,1.61,58.3,32.2,70.1,6.72,NPK_15-15-15,256.4,20.7,499.1,67.0,1414.8
Rice,3.71,84.0,13.9,64.8,6.3,Urea,214.4,33.6,753.8,64.2,1429.6
Wheat,2.24,85.4,29.8,47.1,6.58,Urea,289.8,20.7,1381.6,58.8,886.8
Corn,2.82,77.0,9.8,60.7,6.24,Organic,261.2,21.5,784.8,43.4,240.5
Rice,1.71,79.5,46.2,54.8,6.87,Urea,305.1,31.9,1398.1,55.3,1940.3
Rice,2.49,70.7,46.5,76.4,5.32,NPK_15-15-15,230.6,26.5,1002.0,77.9,1377.0
Wheat,2.45,99.9,46.8,48.0,6.15,Ammonium Nitrate,134.6,28.6,1229.2,54.4,520.2
Soybeans,0.69,93.4,35.4,76.3,6.61,Organic,75.9,18.8,985.5,44.4,285.0
