Crop_Type,Soil_Organic_Carbon,N_Content,P_Content,K_Content,pH,Fertilizer_Type,Fertilizer_Amount,Temperature,Rainfall,Humidity,Carbon_Footprint,Sustainability_Level,Carbon_Credits
Rice,2.62,87.5,33.6,40.9,6.99,Urea,299.8,24.2,250.2,70.3,2269.1,Low,0.0
Vegetables,2.72,66.4,38.9,45.2,7.21,Organic,287.8,22.8,686.6,72.5,206.1,High,0.794
Soybeans,2.64,79.9,43.1,48.5,5.99,Ammonium Nitrate,40.8,33.0,722.7,54.5,268.6,High,0.731
Wheat,2.27,88.4,16.3,65.9,5.59,Urea,120.9,18.6,580.5,86.8,678.5,Medium,0.322
Corn,2.04,60.5,56.5,66.6,7.0,Urea,269.8,32.7,727.9,76.1,2347.8,Low,0.0
Corn,2.08,73.1,7.1,95.9,6.69,Ammonium Nitrate,445.0,23.7,1211.4,76.4,2862.2,Low,0.0
Corn,2.04,73.5,24.7,72.7,6.48,Urea,404.0,14.0,600.1,79.4,1684.7,Low,0.0
Vegetables,3.11,95.7,33.6,10.8,6.67,Ammonium Nitrate,323.7,22.6,1040.8,71.4,1924.4,Low,0.0
Wheat,2.67,48.3,41.2,70.3,6.63,Urea,138.4,28.5,512.0,52.7,760.3,Medium,0.24
Soybeans,0.5,73.7,58.6,36.0,7.3,NPK_15-15-15,37.2,21.6,783.7,63.3,-529.5,High,1.53
Corn,2.72,122.8,7.1,45.7,7.31,Ammonium Nitrate,476.4,15.8,963.3,45.2,1830.8,Low,0.0
Vegetables,2.36,104.1,27.4,48.8,6.78,Organic,195.1,22.6,501.2,70.0,131.4,High,0.869
Soybeans,2.19,108.7,5.0,51.7,6.99,Organic,74.8,19.0,390.9,63.0,-102.7,High,1.103
Corn,1.89,75.6,35.5,37.5,6.76,NPK_15-15-15,400.9,26.1,1022.2,64.5,1116.4,Medium,0.0
Corn,3.1,83.0,39.1,69.1,6.08,Ammonium Nitrate,380.8,27.5,1243.1,79.4,3042.8,Low,0.0
Corn,2.96,100.1,58.9,36.8,6.93,Ammonium Nitrate,219.9,18.0,822.3,59.5,1137.5,Medium,0.0
Rice,1.58,114.0,36.8,72.1,5.42,Urea,356.6,19.8,689.9,62.0,2692.1,Low,0.0
Wheat,2.53,26.2,50.7,109.7,7.14,NPK_15-15-15,181.9,27.4,904.5,65.3,459.6,Medium,0.54
Rice,1.42,42.1,43.8,38.4,5.56,None,0.0,19.0,869.4,42.9,1178.7,Medium,0.0
Rice,1.1,107.7,28.5,59.3,6.6,Urea,275.0,17.9,935.0,61.8,2380.2,Low,0.0
Wheat,1.7,68.1,13.9,14.5,5.81,Ammonium Nitrate,286.1,17.4,200.0,35.2,940.3,Medium,0.06
Corn,2.89,58.2,39.1,59.0,6.79,Urea,321.2,25.3,475.8,58.0,1525.9,Low,0.0
Rice,2.96,43.6,12.6,77.9,6.38,Urea,306.4,25.1,554.2,75.3,2609.1,Low,0.0
Rice,2.61,61.1,54.4,79.4,5.28,NPK_15-15-15,241.2,19.9,902.8,70.4,1657.5,Low,0.0
Wheat,2.78,39.9,32.6,66.5,6.69,NPK_15-15-15,282.3,23.5,915.1,57.9,623.5,Medium,0.376
Soybeans,2.61,127.3,52.9,82.8,6.0,Ammonium Nitrate,90.8,31.4,1072.7,65.5,604.0,Medium,0.396
Corn,1.69,74.4,27.8,115.9,7.02,Urea,232.6,18.4,940.2,52.1,1177.6,Medium,0.0
Wheat,2.55,73.6,39.0,99.2,6.4,Ammonium Nitrate,241.1,13.4,394.7,65.0,817.4,Medium,0.183
Wheat,2.84,89.7,38.1,54.5,6.68,Ammonium Nitrate,107.8,25.9,1356.5,90.0,870.8,Medium,0.129
Corn,2.8,99.1,34.3,36.0,5.73,Organic,399.2,22.9,1295.2,87.1,478.5,Medium,0.522
Wheat,3.15,98.6,28.5,56.9,5.99,Urea,199.4,19.8,409.6,65.6,896.7,Medium,0.103
Corn,2.77,101.8,40.9,46.1,6.08,Urea,281.8,26.9,966.4,66.9,2106.5,Low,0.0
Corn,2.48,59.2,21.1,74.0,7.0,Ammonium Nitrate,335.2,27.9,641.6,53.2,1557.9,Low,0.0
Vegetables,3.06,67.6,16.9,41.4,7.57,Ammonium Nitrate,294.2,12.0,898.6,55.4,1134.1,Medium,0.0
