Crop_Type,SOC,N_Content,P_Content,K_Content,pH,Fertilizer_Type,Fertilizer_Amount,Temperature,Rainfall,Humidity,Carbon_Footprint
Rice,2.7,90,42,43,6.502985292000001,Ammonium Nitrate,365.5,20.87974371,202.9355362,82.00274423,1837.0
Rice,2.44,85,58,41,7.038096361,Urea,342.2,21.77046169,226.6555374,80.31964408,1646.7
Rice,2.76,60,55,44,7.840207144,NPK_15-15-15,198.8,23.00445915,263.9642476,82.3207629,1110.8
Rice,3.11,74,35,40,6.980400905,Ammonium Nitrate,381.5,26.49109635,242.8640342,80.15836264,1829.2
Rice,2.41,78,42,42,7.628472891,Ammonium Nitrate,153.6,20.13017482,262.7173405,81.60487287,1281.1
Rice,2.41,69,37,42,7.073453503,Urea,257.1,23.05804872,251.0549998,83.37011772,1455.0
Rice,3.13,69,55,38,5.70080568,Organic,218.6,22.70883798,271.3248604,82.63941394,827.8
Rice,2.81,94,53,40,5.718627177999999,Ammonium Nitrate,216.6,20.27774362,241.9741949,82.89408619,1400.4
Rice,2.31,89,54,38,6.685346424,Urea,404.4,24.51588066,230.4462359,83.53521629999999,1818.6
Rice,2.72,68,58,38,6.336253525,NPK_15-15-15,178.6,23.22397386,221.2091958,83.03322691,1108.4
Rice,2.31,91,53,40,5.386167788,Urea,158.8,26.52723513,264.6148697,81.41753846,1281.9
Rice,2.31,90,46,42,7.50283396,Ammonium Nitrate,348.7,23.97898217,250.0832336,81.45061596,1928.4
Rice,2.6,78,58,44,5.108681786,Urea,236.7,26.80079604,284.4364567,80.88684822,1397.2
Rice,1.73,93,56,36,6.98435366,Urea,425.9,24.01497622,185.2773389,82.05687182,1940.6
Rice,1.81,94,50,37,6.94801983,None,0.0,25.66585205,209.5869708,80.66385045,956.1
Rice,2.28,60,48,39,7.042299068999999,Urea,378.3,24.28209415,231.0863347,80.30025587,1737.6
Rice,2.09,85,38,41,6.2490506560000005,Urea,267.7,21.58711777,276.65524589999995,82.7883708,1520.7
Rice,2.63,91,35,39,6.970859754,NPK_15-15-15,425.5,23.79391957,206.2611855,80.41817957,1433.8
Rice,2.14,77,38,36,5.953933276,None,0.0,21.8652524,224.55501690000003,80.1923008,892.3
Rice,1.94,88,35,40,5.85393208,Ammonium Nitrate,257.1,23.57943626,291.2986618000001,83.58760316,1641.5
Rice,3.09,89,45,36,6.442475375,NPK_15-15-15,225.3,21.32504158,185.4974732,80.47476396,1035.5
Rice,2.41,76,40,43,5.070175667,Ammonium Nitrate,257.6,25.15745531,231.3843163,83.11713476,1685.2
Rice,2.53,67,59,41,6.012632591,NPK_15-15-15,222.1,21.94766735,213.3560921,80.97384195,1138.0
Rice,1.93,83,41,43,6.254028451,Urea,425.5,21.0525355,233.1075816,82.67839517,1907.6
Rice,2.28,98,47,37,7.375482851,Urea,301.8,23.48381344,224.0581164,81.33265073,1620.8
Rice,2.54,66,53,41,7.778915154,Urea,161.7,25.0756354,257.0038865,80.52389148,1166.7
Rice,2.04,97,59,43,6.2865001760000006,Urea,202.6,26.35927159,271.35861370000003,84.04403589,1435.5
Rice,2.65,97,50,41,7.070959995,NPK_15-15-15,234.7,24.52922681,260.2634026,80.54498576,1199.3
Rice,2.26,60,49,44,6.244841491,None,0.0,20.77576147,240.0810647,84.49774397,896.6
Rice,2.38,84,51,35,6.043304899,Ammonium Nitrate,281.0,22.30157427,197.9791215,80.64416466,1631.1
Rice,2.26,73,57,41,5.824709117,Ammonium Nitrate,305.0,21.44653958,272.2017204,84.94375962,1795.6
Rice,3.24,92,35,40,6.3573893660000005,NPK_15-15-15,234.7,22.17931888,200.0882787,80.33127223,1048.4
Rice,2.49,85,37,39,6.364134967999999,Urea,418.2,24.52783742,224.67572310000003,82.73685569,1834.6
Rice,2.08,98,53,38,5.01450727,Organic,417.8,20.26707606,270.4417274,81.63895217,1083.9
Rice,2.83,88,54,44,6.149410611,Urea,384.1,25.7354293,233.1321372,83.88266234,1714.5
Rice,2.01,95,55,42,5.950660556,Ammonium Nitrate,299.3,26.79533926,193.3473987,82.1480873,1808.1
Rice,2.58,99,57,35,5.960370061,Urea,327.3,26.75754171,272.29990560000005,81.17734011,1565.2
Rice,1.72,95,39,36,5.561398642,Urea,249.5,23.86330467,285.2493645,83.15250801,1474.5
Rice,1.97,60,43,44,7.416245107000001,NPK_15-15-15,212.1,21.01944696,298.40184710000005,82.95221726,1233.2
Rice,2.58,63,44,41,5.583370042,Urea,170.7,24.17298839,257.0343554,83.7287574,1223.1
Rice,2.8,62,42,36,6.430010215,Organic,302.1,22.78133816,248.7183228,82.06719137,910.4
Rice,2.57,64,45,43,5.534878156,Urea,393.3,25.62980105,209.9001977,83.52842314,1743.2
Rice,2.45,83,60,36,6.903985986,NPK_15-15-15,249.7,25.59704938,200.834898,80.14509262,1279.4
Rice,2.38,82,40,40,6.271478837999999,NPK_15-15-15,381.3,23.83067496,298.5601175,84.81360127,1447.1
Rice,1.91,85,52,45,7.224285503,NPK_15-15-15,195.5,26.31355498,265.5355937,82.36698992,1237.5
Rice,2.21,91,35,38,6.13428721,NPK_15-15-15,311.7,24.8972823,183.6793207,80.52586088,1361.5
Rice,2.32,76,49,42,5.206373153,Urea,277.6,24.958779,196.95600080000003,84.47963372,1522.3
Rice,2.92,74,39,38,7.782051312999999,Urea,188.4,23.24113501,233.0453455,84.59201843,1229.9
Rice,2.64,79,43,39,7.062779015,NPK_15-15-15,150.0,21.66628296,210.8142087,80.70960551,996.9
Rice,1.79,88,55,45,7.730367824,Urea,306.8,24.63544858,253.7202781,80.41363018,1676.6
Rice,2.63,60,36,43,5.286203711000001,Urea,441.9,23.43121862,219.9048349,83.06310136,1830.1
Rice,2.35,76,60,39,6.766240045,Urea,241.3,20.0454142,208.5810155,80.3477562,1360.2
Rice,2.23,93,56,42,7.382762603,Urea,219.1,23.85724032,195.0948311,82.22572988,1446.9
Rice,2.74,65,60,43,5.658169482000001,Urea,368.8,21.97199397,227.3637009,81.89918197,1616.0
Rice,2.91,95,52,36,5.543360237999999,None,0.0,26.22916897,286.5083725,83.83625819,818.7
Rice,2.87,75,38,39,6.215109715,Urea,348.9,23.44676801,283.9338466,84.79352417,1571.6
Rice,2.16,74,54,38,7.120272972,NPK_15-15-15,404.5,25.65553461,217.3788583,83.47021081,1520.0
Rice,2.38,91,36,45,5.950647577000001,Urea,240.9,24.44345477,267.97619480000003,82.45432595,1393.9
Rice,2.63,71,46,40,7.236705436,Urea,363.8,20.2801937,191.9535738,82.1235421,1655.0
Rice,2.89,99,55,35,6.501697816,NPK_15-15-15,204.5,21.7238313,277.9626192,80.2389895,1133.6
Rice,2.31,72,40,38,7.592490617,Urea,420.6,20.41447029,245.1511304,82.20802629,1804.0
Rice,2.43,83,58,45,5.875345751,NPK_15-15-15,445.5,25.75528612,245.6626799,83.51827127,1572.4
Rice,2.06,93,58,38,6.932400225,NPK_15-15-15,268.0,20.61521424,279.5451717,83.77345559,1295.5
Rice,2.02,70,36,42,6.9462098810000015,Ammonium Nitrate,348.3,21.84106875,202.3838319,80.72886384,1937.3
Rice,2.83,76,47,42,5.739175027000001,Urea,313.3,20.08369642,263.6372176,83.29114712,1553.0
Rice,3.04,99,41,36,6.738652179,NPK_15-15-15,200.2,24.45802087,182.5616319,82.74835604,1061.7
Rice,2.47,99,54,37,5.5948196260000005,NPK_15-15-15,325.1,21.14347496,198.6730942,80.33502926,1288.9
Rice,2.9,86,59,35,6.946636369,None,0.0,25.78720567,243.5120414,82.11124033,821.6
Rice,2.64,69,46,41,5.012139669,Urea,229.6,23.64124821,263.1103304,80.28597873,1369.9
Rice,2.24,91,56,37,6.363472207999999,Ammonium Nitrate,239.0,23.43191632,269.5039162,80.56887849,1586.5
Rice,2.64,61,52,41,6.880431223,NPK_15-15-15,377.7,24.97669518,204.8001847,83.891805,1379.1
Rice,3.12,67,45,38,7.300410836,Urea,304.2,22.72791041,260.8875056,82.17068809999998,1420.6
Rice,2.49,79,42,37,6.587918707999999,Ammonium Nitrate,260.8,24.87300744,295.6094492000001,82.84022551,1637.5
Rice,3.13,78,43,42,7.283736617000001,Organic,398.3,21.32376327,192.3197536,83.00320459,901.8
Rice,1.45,75,54,36,7.023936392,NPK_15-15-15,364.3,26.29465461,257.4914906,84.56919326,1531.4
Rice,2.83,97,36,45,6.939083505,Ammonium Nitrate,426.3,22.2286982,278.0791793,81.85872947,2045.1
Rice,2.53,67,47,44,7.868474653,NPK_15-15-15,368.7,26.73072391,280.4044392,81.78596776,1437.1
Rice,2.38,73,35,38,5.005306977,NPK_15-15-15,232.2,24.88921174,185.9461429,81.97927117,1221.0
Rice,2.54,77,36,37,6.136131869,NPK_15-15-15,208.6,26.88444878,194.5766559,81.46033732,1198.3
Rice,1.7,81,41,38,7.5240800760000015,Urea,250.7,22.67846116,200.9133156,83.72874389,1526.6
Rice,2.41,68,57,43,5.706943251,None,0.0,26.08867875,182.9043504,80.37979919,857.4
Rice,2.64,72,45,35,5.758506323,NPK_15-15-15,360.4,25.42977518,195.3574542,82.94682591,1388.6
Rice,3.09,61,53,43,6.349606327,NPK_15-15-15,318.6,26.40323239,223.3671883,81.05635517,1235.2
Rice,2.29,67,43,39,5.9999690260000005,Organic,298.9,26.04371967,186.7536773,84.96907151,968.6
Rice,2.18,67,58,39,5.453592032,Urea,198.9,25.2827223,220.1156708,80.54372813,1361.6
Rice,2.3,66,60,38,6.372576327000001,NPK_15-15-15,370.3,22.08576562,231.7364957,83.47038318,1402.5
Rice,2.87,82,43,38,5.105588355,Urea,157.6,23.28617173,242.3170629,81.43321641,1186.6
