Crop_Type,SOC,N_Content,P_Content,K_Content,pH,Fertilizer_Type,Fertilizer_Amount,Temperature,Rainfall,Humidity,Carbon_Footprint
Vegetables,0.5,200.0,31.3,150.0,7.03,NPK_15-15-15,296.3,27.2,626.8,45.9,1116.2
Corn,0.5,86.9,19.4,150.0,8.4,None,0.0,30.8,556.2,60.1,750.2
Soybeans,0.5,115.2,24.2,150.0,8.28,NPK_15-15-15,16.9,30.3,769.3,48.7,515.2
Vegetables,1.55,200.0,8.7,150.0,5.09,NPK_15-15-15,225.1,27.6,2000.0,76.9,1040.2
Soybeans,0.5,194.0,18.0,150.0,7.93,None,0.0,25.9,669.3,50.9,514.3
Corn,0.5,200.0,22.1,150.0,7.09,Urea,340.8,26.4,562.4,53.4,1526.2
Wheat,0.5,134.4,20.3,150.0,7.67,Urea,248.3,28.2,775.0,47.7,1183.1
Vegetables,0.51,164.5,24.1,150.0,7.26,Ammonium Nitrate,308.2,24.3,1100.4,67.3,1614.7
Soybeans,0.5,107.0,18.7,150.0,8.5,Organic,38.1,27.1,714.8,43.7,478.8
Vegetables,0.5,136.1,15.2,150.0,6.55,Ammonium Nitrate,321.6,25.1,783.0,54.4,1593.8
Rice,0.6,200.0,24.4,150.0,7.08,NPK_15-15-15,378.0,22.8,820.9,66.6,1733.6
Soybeans,0.75,200.0,22.5,150.0,7.63,Organic,4.6,25.3,890.8,76.1,515.8
Soybeans,0.85,200.0,18.9,150.0,7.87,Organic,74.3,25.4,1153.5,77.1,594.5
Vegetables,0.5,200.0,23.6,150.0,6.45,Ammonium Nitrate,329.8,27.6,618.3,46.5,1651.4
Soybeans,3.75,22.0,59.0,23.0,4.371745575,Organic,90.2,27.32220619,36.5037914,51.27868781,-66.3
Corn,0.5,195.0,31.6,150.0,6.91,Organic,384.6,24.5,607.5,55.0,843.5
Corn,0.5,195.0,25.1,150.0,7.17,Urea,181.0,25.9,612.2,46.3,1156.0
Corn,0.74,143.3,14.5,150.0,7.25,Urea,329.9,25.1,755.9,66.5,1485.9
Vegetables,0.5,195.0,34.9,150.0,7.19,Organic,326.4,24.2,580.1,55.8,850.9
Corn,0.5,164.9,7.6,150.0,7.76,Urea,312.1,23.3,515.6,52.7,1399.2
Vegetables,0.65,144.2,21.7,150.0,6.95,Ammonium Nitrate,285.6,19.9,766.6,60.0,1432.6
Vegetables,0.5,121.1,13.4,150.0,5.66,NPK_15-15-15,245.3,22.8,635.7,62.0,986.6
Corn,0.5,86.5,23.9,150.0,8.33,NPK_15-15-15,364.7,24.9,559.8,55.8,1256.4
Wheat,0.54,120.7,12.1,150.0,7.64,Ammonium Nitrate,244.6,27.3,442.3,54.1,1360.2
Corn,0.5,142.6,14.3,150.0,7.69,Ammonium Nitrate,348.4,28.5,542.6,45.3,1709.3
Vegetables,0.5,155.5,18.2,150.0,7.15,Organic,121.8,26.0,738.9,74.6,762.1
Soybeans,0.5,195.0,20.0,150.0,6.79,Organic,67.4,28.5,582.4,60.7,507.9
Vegetables,0.5,185.0,30.4,150.0,7.4,Urea,329.2,30.6,695.9,57.6,1454.2
Corn,0.5,140.8,15.4,150.0,7.53,Urea,401.4,28.8,527.0,46.2,1566.7
Vegetables,2.03,107.0,58.0,15.0,7.55606399,Ammonium Nitrate,282.1,23.73868041,76.63669195,75.77503808,1203.3
Vegetables,1.06,200.0,11.9,140.3,5.62,Organic,206.3,27.3,2000.0,78.1,901.7
Wheat,0.5,182.2,19.7,150.0,8.13,None,0.0,26.8,525.0,56.9,663.3
Wheat,0.5,121.1,25.1,150.0,7.77,NPK_15-15-15,269.8,27.3,680.3,51.6,1013.4
Vegetables,0.57,166.1,19.3,150.0,7.0,Ammonium Nitrate,324.2,23.8,825.2,66.7,1608.9
Corn,0.5,200.0,36.1,150.0,7.4,Ammonium Nitrate,355.0,25.7,577.1,50.3,1786.1
Corn,0.5,116.3,22.3,150.0,7.32,Urea,314.5,30.4,530.8,55.7,1445.5
Vegetables,0.5,150.0,34.0,150.0,7.11,Organic,178.6,28.0,580.3,56.2,744.6
Vegetables,0.5,200.0,30.7,150.0,6.72,NPK_15-15-15,160.6,24.5,454.7,57.3,929.4
Wheat,0.5,191.5,21.8,150.0,7.74,Ammonium Nitrate,133.1,25.8,680.5,45.0,1005.6
Vegetables,0.5,200.0,31.3,150.0,7.11,Organic,272.7,25.5,550.6,57.0,827.1
Vegetables,0.5,195.0,30.4,150.0,7.11,Organic,256.1,23.3,618.0,64.6,756.8
Soybeans,0.5,200.0,30.4,150.0,7.23,Organic,68.3,25.8,608.2,57.7,510.2
Soybeans,0.5,180.0,31.9,150.0,7.35,Urea,15.1,28.6,540.8,48.9,489.0
Vegetables,3.12,87.0,21.0,52.0,6.067665497999999,NPK_15-15-15,185.6,27.350629600000005,27.21244021,94.29119509999998,547.7
Vegetables,1.36,200.0,8.0,143.9,5.51,Ammonium Nitrate,253.4,27.2,2000.0,74.0,1462.6
Vegetables,0.5,200.0,20.6,150.0,6.74,Organic,229.8,24.7,591.7,62.4,815.1
Vegetables,0.69,200.0,13.4,134.5,4.56,NPK_15-15-15,202.3,26.7,2000.0,80.8,1169.7
Wheat,0.66,169.9,25.3,150.0,7.88,NPK_15-15-15,233.7,22.5,895.2,51.7,970.1
Rice,0.5,112.5,19.3,150.0,8.11,None,0.0,29.6,692.1,49.5,1248.5
Vegetables,0.5,200.0,33.1,150.0,7.12,Ammonium Nitrate,185.9,23.7,483.4,51.3,1197.9
Vegetables,0.53,170.1,11.3,150.0,6.45,NPK_15-15-15,305.2,21.1,581.3,54.8,1111.0
Vegetables,0.5,200.0,34.0,150.0,7.5,Ammonium Nitrate,311.9,25.8,528.1,50.4,1591.1
Rice,0.52,115.5,17.1,150.0,8.12,NPK_15-15-15,325.6,28.1,572.7,43.0,1620.3
Rice,0.5,101.3,14.3,150.0,8.13,NPK_15-15-15,154.4,31.9,680.1,49.1,1469.7
Vegetables,0.6,149.4,17.2,150.0,7.52,NPK_15-15-15,330.8,23.4,1309.2,66.8,1208.0
Wheat,0.67,141.6,30.9,150.0,7.76,Urea,256.3,26.0,874.0,69.4,1211.3
Soybeans,0.73,200.0,22.6,150.0,7.2,Organic,18.7,24.5,1250.5,75.2,565.8
Corn,0.5,153.0,16.0,90.0,8.14,Urea,256.7,24.8,571.0,59.5,1262.1
